Feedback strength \fb\n	x(t)
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
4.000000e-02	-6.902010e-14
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
8.000000e-02	-1.380445e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.200000e-01	-2.760821e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
1.600000e-01	-2.760804e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
2.000000e-01	-5.521643e-13
