Sampling frequency [arb.units]	One ratio [arb.units]	(One ratio - 0.5)\u2\n
1.360000e-01	5.666667e-01	4.444444e-03
1.370000e-01	5.666667e-01	4.444444e-03
1.380000e-01	5.666667e-01	4.444444e-03
1.390000e-01	5.666667e-01	4.444444e-03
1.400000e-01	4.482759e-01	2.675386e-03
1.410000e-01	4.482759e-01	2.675386e-03
1.420000e-01	4.482759e-01	2.675386e-03
1.430000e-01	4.482759e-01	2.675386e-03
1.440000e-01	4.482759e-01	2.675386e-03
1.450000e-01	6.785714e-01	3.188776e-02
1.460000e-01	6.785714e-01	3.188776e-02
1.470000e-01	6.785714e-01	3.188776e-02
1.480000e-01	6.785714e-01	3.188776e-02
1.490000e-01	6.785714e-01	3.188776e-02
1.500000e-01	4.644195e-01	1.265974e-03
1.510000e-01	4.644195e-01	1.265974e-03
1.520000e-01	4.644195e-01	1.265974e-03
1.530000e-01	4.644195e-01	1.265974e-03
1.540000e-01	4.644195e-01	1.265974e-03
1.550000e-01	5.000000e-01	0.000000e+00
1.560000e-01	5.000000e-01	0.000000e+00
1.570000e-01	5.000000e-01	0.000000e+00
1.580000e-01	5.000000e-01	0.000000e+00
1.590000e-01	5.000000e-01	0.000000e+00
1.600000e-01	4.600000e-01	1.600000e-03
1.610000e-01	4.600000e-01	1.600000e-03
1.620000e-01	4.600000e-01	1.600000e-03
1.630000e-01	4.600000e-01	1.600000e-03
1.640000e-01	4.600000e-01	1.600000e-03
1.650000e-01	4.000000e-01	1.000000e-02
1.660000e-01	4.000000e-01	1.000000e-02
1.670000e-01	4.000000e-01	1.000000e-02
1.680000e-01	4.000000e-01	1.000000e-02
1.690000e-01	4.000000e-01	1.000000e-02
1.700000e-01	5.833333e-01	6.944444e-03
1.710000e-01	5.833333e-01	6.944444e-03
1.720000e-01	5.833333e-01	6.944444e-03
1.730000e-01	5.833333e-01	6.944444e-03
1.740000e-01	5.833333e-01	6.944444e-03
1.750000e-01	5.130435e-01	1.701323e-04
1.760000e-01	5.130435e-01	1.701323e-04
1.770000e-01	5.130435e-01	1.701323e-04
1.780000e-01	5.130435e-01	1.701323e-04
1.790000e-01	5.130435e-01	1.701323e-04
1.800000e-01	4.444444e-01	3.086420e-03
1.810000e-01	4.444444e-01	3.086420e-03
1.820000e-01	4.444444e-01	3.086420e-03
1.830000e-01	4.444444e-01	3.086420e-03
1.840000e-01	4.444444e-01	3.086420e-03
1.850000e-01	5.454545e-01	2.066116e-03
1.860000e-01	5.454545e-01	2.066116e-03
1.870000e-01	5.454545e-01	2.066116e-03
1.880000e-01	5.454545e-01	2.066116e-03
1.890000e-01	5.454545e-01	2.066116e-03
1.900000e-01	4.651163e-01	1.216874e-03
1.910000e-01	4.651163e-01	1.216874e-03
1.920000e-01	4.651163e-01	1.216874e-03
1.930000e-01	4.651163e-01	1.216874e-03
1.940000e-01	4.651163e-01	1.216874e-03
1.950000e-01	3.333333e-01	2.777778e-02
1.960000e-01	3.333333e-01	2.777778e-02
1.970000e-01	3.333333e-01	2.777778e-02
1.980000e-01	3.333333e-01	2.777778e-02
1.990000e-01	3.333333e-01	2.777778e-02
2.000000e-01	4.400000e-01	3.600000e-03
2.010000e-01	4.400000e-01	3.600000e-03
2.020000e-01	4.400000e-01	3.600000e-03
2.030000e-01	4.400000e-01	3.600000e-03
2.040000e-01	4.400000e-01	3.600000e-03
2.050000e-01	3.500000e-01	2.250000e-02
2.060000e-01	3.500000e-01	2.250000e-02
2.070000e-01	3.500000e-01	2.250000e-02
2.080000e-01	3.500000e-01	2.250000e-02
2.090000e-01	3.500000e-01	2.250000e-02
2.100000e-01	5.641026e-01	4.109139e-03
2.110000e-01	5.641026e-01	4.109139e-03
2.120000e-01	5.641026e-01	4.109139e-03
2.130000e-01	5.641026e-01	4.109139e-03
2.140000e-01	5.641026e-01	4.109139e-03
2.150000e-01	6.315789e-01	1.731302e-02
2.160000e-01	6.315789e-01	1.731302e-02
2.170000e-01	6.315789e-01	1.731302e-02
2.180000e-01	6.315789e-01	1.731302e-02
2.190000e-01	6.315789e-01	1.731302e-02
2.200000e-01	3.243243e-01	3.086194e-02
2.210000e-01	3.243243e-01	3.086194e-02
2.220000e-01	3.243243e-01	3.086194e-02
2.230000e-01	3.243243e-01	3.086194e-02
2.240000e-01	3.243243e-01	3.086194e-02
2.250000e-01	4.719101e-01	7.890418e-04
2.260000e-01	4.719101e-01	7.890418e-04
2.270000e-01	4.719101e-01	7.890418e-04
2.280000e-01	4.719101e-01	7.890418e-04
2.290000e-01	4.719101e-01	7.890418e-04
2.300000e-01	4.857143e-01	2.040816e-04
2.310000e-01	4.857143e-01	2.040816e-04
2.320000e-01	4.857143e-01	2.040816e-04
2.330000e-01	4.857143e-01	2.040816e-04
2.340000e-01	4.857143e-01	2.040816e-04
2.350000e-01	3.888889e-01	1.234568e-02
2.360000e-01	3.888889e-01	1.234568e-02
2.370000e-01	3.888889e-01	1.234568e-02
2.380000e-01	3.888889e-01	1.234568e-02
2.390000e-01	3.888889e-01	1.234568e-02
2.400000e-01	4.117647e-01	7.785467e-03
2.410000e-01	4.117647e-01	7.785467e-03
2.420000e-01	4.117647e-01	7.785467e-03
2.430000e-01	4.117647e-01	7.785467e-03
2.440000e-01	4.117647e-01	7.785467e-03
2.450000e-01	5.882353e-01	7.785467e-03
2.460000e-01	5.882353e-01	7.785467e-03
2.470000e-01	5.882353e-01	7.785467e-03
2.480000e-01	5.882353e-01	7.785467e-03
2.490000e-01	5.882353e-01	7.785467e-03
2.500000e-01	5.882353e-01	7.785467e-03
2.510000e-01	4.725000e-01	7.562500e-04
2.520000e-01	4.725000e-01	7.562500e-04
2.530000e-01	4.725000e-01	7.562500e-04
2.540000e-01	4.725000e-01	7.562500e-04
2.550000e-01	5.625000e-01	3.906250e-03
2.560000e-01	5.625000e-01	3.906250e-03
2.570000e-01	5.625000e-01	3.906250e-03
2.580000e-01	5.625000e-01	3.906250e-03
2.590000e-01	5.625000e-01	3.906250e-03
2.600000e-01	4.838710e-01	2.601457e-04
2.610000e-01	4.838710e-01	2.601457e-04
2.620000e-01	4.838710e-01	2.601457e-04
2.630000e-01	4.838710e-01	2.601457e-04
2.640000e-01	4.838710e-01	2.601457e-04
2.650000e-01	4.838710e-01	2.601457e-04
2.660000e-01	5.625000e-01	3.906250e-03
2.670000e-01	5.625000e-01	3.906250e-03
2.680000e-01	5.625000e-01	3.906250e-03
2.690000e-01	5.625000e-01	3.906250e-03
2.700000e-01	5.666667e-01	4.444444e-03
2.710000e-01	5.666667e-01	4.444444e-03
2.720000e-01	5.666667e-01	4.444444e-03
2.730000e-01	5.666667e-01	4.444444e-03
2.740000e-01	5.666667e-01	4.444444e-03
2.750000e-01	4.931507e-01	4.691312e-05
2.760000e-01	4.931507e-01	4.691312e-05
2.770000e-01	4.931507e-01	4.691312e-05
2.780000e-01	4.931507e-01	4.691312e-05
2.790000e-01	4.931507e-01	4.691312e-05
2.800000e-01	4.931507e-01	4.691312e-05
2.810000e-01	4.827586e-01	2.972652e-04
2.820000e-01	4.827586e-01	2.972652e-04
2.830000e-01	4.827586e-01	2.972652e-04
2.840000e-01	4.827586e-01	2.972652e-04
2.850000e-01	6.000000e-01	1.000000e-02
2.860000e-01	6.000000e-01	1.000000e-02
2.870000e-01	6.000000e-01	1.000000e-02
2.880000e-01	6.000000e-01	1.000000e-02
2.890000e-01	6.000000e-01	1.000000e-02
2.900000e-01	6.785714e-01	3.188776e-02
2.910000e-01	6.785714e-01	3.188776e-02
2.920000e-01	6.785714e-01	3.188776e-02
2.930000e-01	6.785714e-01	3.188776e-02
2.940000e-01	6.785714e-01	3.188776e-02
2.950000e-01	6.785714e-01	3.188776e-02
