Sampling frequency [arb.units]	One ratio [arb.units]	(One ratio - 0.5)\u2\n
5.800000e-01	7.142857e-01	4.591837e-02
5.810000e-01	7.142857e-01	4.591837e-02
5.820000e-01	7.142857e-01	4.591837e-02
5.830000e-01	7.142857e-01	4.591837e-02
5.840000e-01	7.142857e-01	4.591837e-02
5.850000e-01	5.714286e-01	5.102041e-03
5.860000e-01	5.714286e-01	5.102041e-03
5.870000e-01	5.714286e-01	5.102041e-03
5.880000e-01	5.714286e-01	5.102041e-03
5.890000e-01	5.714286e-01	5.102041e-03
5.900000e-01	5.714286e-01	5.102041e-03
5.910000e-01	5.000000e-01	0.000000e+00
5.920000e-01	5.000000e-01	0.000000e+00
5.930000e-01	5.000000e-01	0.000000e+00
5.940000e-01	5.000000e-01	0.000000e+00
5.950000e-01	8.571429e-01	1.275510e-01
5.960000e-01	8.571429e-01	1.275510e-01
5.970000e-01	8.571429e-01	1.275510e-01
5.980000e-01	8.571429e-01	1.275510e-01
5.990000e-01	8.571429e-01	1.275510e-01
6.000000e-01	3.582090e-01	2.010470e-02
6.010000e-01	3.582090e-01	2.010470e-02
6.020000e-01	3.582090e-01	2.010470e-02
6.030000e-01	3.582090e-01	2.010470e-02
6.040000e-01	3.582090e-01	2.010470e-02
6.050000e-01	5.714286e-01	5.102041e-03
6.060000e-01	5.714286e-01	5.102041e-03
6.070000e-01	5.714286e-01	5.102041e-03
6.080000e-01	5.714286e-01	5.102041e-03
6.090000e-01	5.714286e-01	5.102041e-03
6.100000e-01	5.000000e-01	0.000000e+00
6.110000e-01	5.000000e-01	0.000000e+00
6.120000e-01	5.000000e-01	0.000000e+00
6.130000e-01	5.000000e-01	0.000000e+00
6.140000e-01	5.000000e-01	0.000000e+00
6.150000e-01	4.285714e-01	5.102041e-03
6.160000e-01	4.285714e-01	5.102041e-03
6.170000e-01	4.285714e-01	5.102041e-03
6.180000e-01	4.285714e-01	5.102041e-03
6.190000e-01	4.285714e-01	5.102041e-03
6.200000e-01	4.285714e-01	5.102041e-03
6.210000e-01	3.846154e-01	1.331361e-02
6.220000e-01	3.846154e-01	1.331361e-02
6.230000e-01	3.846154e-01	1.331361e-02
6.240000e-01	3.846154e-01	1.331361e-02
6.250000e-01	3.750000e-01	1.562500e-02
6.260000e-01	3.750000e-01	1.562500e-02
6.270000e-01	3.750000e-01	1.562500e-02
6.280000e-01	3.750000e-01	1.562500e-02
6.290000e-01	3.750000e-01	1.562500e-02
6.300000e-01	6.153846e-01	1.331361e-02
6.310000e-01	6.153846e-01	1.331361e-02
6.320000e-01	6.153846e-01	1.331361e-02
6.330000e-01	6.153846e-01	1.331361e-02
6.340000e-01	6.153846e-01	1.331361e-02
6.350000e-01	7.142857e-01	4.591837e-02
6.360000e-01	7.142857e-01	4.591837e-02
6.370000e-01	7.142857e-01	4.591837e-02
6.380000e-01	7.142857e-01	4.591837e-02
6.390000e-01	7.142857e-01	4.591837e-02
6.400000e-01	4.615385e-01	1.479290e-03
6.410000e-01	4.615385e-01	1.479290e-03
6.420000e-01	4.615385e-01	1.479290e-03
6.430000e-01	4.615385e-01	1.479290e-03
6.440000e-01	4.615385e-01	1.479290e-03
6.450000e-01	5.714286e-01	5.102041e-03
6.460000e-01	5.714286e-01	5.102041e-03
6.470000e-01	5.714286e-01	5.102041e-03
6.480000e-01	5.714286e-01	5.102041e-03
6.490000e-01	5.714286e-01	5.102041e-03
6.500000e-01	4.677419e-01	1.040583e-03
6.510000e-01	4.677419e-01	1.040583e-03
6.520000e-01	4.677419e-01	1.040583e-03
6.530000e-01	4.677419e-01	1.040583e-03
6.540000e-01	4.677419e-01	1.040583e-03
6.550000e-01	5.714286e-01	5.102041e-03
6.560000e-01	5.714286e-01	5.102041e-03
6.570000e-01	5.714286e-01	5.102041e-03
6.580000e-01	5.714286e-01	5.102041e-03
6.590000e-01	5.714286e-01	5.102041e-03
6.600000e-01	1.538462e-01	1.198225e-01
6.610000e-01	1.538462e-01	1.198225e-01
6.620000e-01	1.538462e-01	1.198225e-01
6.630000e-01	1.538462e-01	1.198225e-01
6.640000e-01	1.538462e-01	1.198225e-01
6.650000e-01	7.142857e-01	4.591837e-02
6.660000e-01	7.142857e-01	4.591837e-02
6.670000e-01	7.142857e-01	4.591837e-02
6.680000e-01	7.142857e-01	4.591837e-02
6.690000e-01	7.142857e-01	4.591837e-02
6.700000e-01	5.000000e-01	0.000000e+00
6.710000e-01	5.000000e-01	0.000000e+00
6.720000e-01	5.000000e-01	0.000000e+00
6.730000e-01	5.000000e-01	0.000000e+00
6.740000e-01	5.000000e-01	0.000000e+00
6.750000e-01	5.666667e-01	4.444444e-03
6.760000e-01	5.666667e-01	4.444444e-03
6.770000e-01	5.666667e-01	4.444444e-03
6.780000e-01	5.666667e-01	4.444444e-03
6.790000e-01	5.666667e-01	4.444444e-03
6.800000e-01	6.666667e-01	2.777778e-02
6.810000e-01	6.666667e-01	2.777778e-02
6.820000e-01	6.666667e-01	2.777778e-02
6.830000e-01	6.666667e-01	2.777778e-02
6.840000e-01	6.666667e-01	2.777778e-02
6.850000e-01	5.000000e-01	0.000000e+00
6.860000e-01	5.000000e-01	0.000000e+00
6.870000e-01	5.000000e-01	0.000000e+00
6.880000e-01	5.000000e-01	0.000000e+00
6.890000e-01	5.000000e-01	0.000000e+00
6.900000e-01	7.500000e-01	6.250000e-02
6.910000e-01	7.500000e-01	6.250000e-02
6.920000e-01	7.500000e-01	6.250000e-02
6.930000e-01	7.500000e-01	6.250000e-02
6.940000e-01	7.500000e-01	6.250000e-02
6.950000e-01	3.333333e-01	2.777778e-02
6.960000e-01	3.333333e-01	2.777778e-02
6.970000e-01	3.333333e-01	2.777778e-02
6.980000e-01	3.333333e-01	2.777778e-02
6.990000e-01	3.333333e-01	2.777778e-02
7.000000e-01	4.482759e-01	2.675386e-03
7.010000e-01	4.482759e-01	2.675386e-03
7.020000e-01	4.482759e-01	2.675386e-03
7.030000e-01	4.482759e-01	2.675386e-03
7.040000e-01	4.482759e-01	2.675386e-03
7.050000e-01	6.666667e-01	2.777778e-02
7.060000e-01	6.666667e-01	2.777778e-02
7.070000e-01	6.666667e-01	2.777778e-02
7.080000e-01	6.666667e-01	2.777778e-02
7.090000e-01	6.666667e-01	2.777778e-02
7.100000e-01	5.000000e-01	0.000000e+00
7.110000e-01	5.000000e-01	0.000000e+00
7.120000e-01	5.000000e-01	0.000000e+00
7.130000e-01	5.000000e-01	0.000000e+00
7.140000e-01	5.000000e-01	0.000000e+00
7.150000e-01	6.666667e-01	2.777778e-02
7.160000e-01	6.666667e-01	2.777778e-02
7.170000e-01	6.666667e-01	2.777778e-02
7.180000e-01	6.666667e-01	2.777778e-02
7.190000e-01	6.666667e-01	2.777778e-02
7.200000e-01	4.166667e-01	6.944444e-03
7.210000e-01	4.166667e-01	6.944444e-03
7.220000e-01	4.166667e-01	6.944444e-03
7.230000e-01	4.166667e-01	6.944444e-03
7.240000e-01	4.166667e-01	6.944444e-03
7.250000e-01	6.785714e-01	3.188776e-02
7.260000e-01	6.785714e-01	3.188776e-02
7.270000e-01	6.785714e-01	3.188776e-02
7.280000e-01	6.785714e-01	3.188776e-02
7.290000e-01	6.785714e-01	3.188776e-02
7.300000e-01	3.636364e-01	1.859504e-02
7.310000e-01	3.636364e-01	1.859504e-02
7.320000e-01	3.636364e-01	1.859504e-02
7.330000e-01	3.636364e-01	1.859504e-02
7.340000e-01	3.636364e-01	1.859504e-02
7.350000e-01	6.666667e-01	2.777778e-02
7.360000e-01	6.666667e-01	2.777778e-02
7.370000e-01	6.666667e-01	2.777778e-02
7.380000e-01	6.666667e-01	2.777778e-02
7.390000e-01	6.666667e-01	2.777778e-02
7.400000e-01	5.454545e-01	2.066116e-03
7.410000e-01	5.454545e-01	2.066116e-03
7.420000e-01	5.454545e-01	2.066116e-03
7.430000e-01	5.454545e-01	2.066116e-03
7.440000e-01	5.454545e-01	2.066116e-03
7.450000e-01	1.666667e-01	1.111111e-01
7.460000e-01	1.666667e-01	1.111111e-01
7.470000e-01	1.666667e-01	1.111111e-01
7.480000e-01	1.666667e-01	1.111111e-01
7.490000e-01	1.666667e-01	1.111111e-01
7.500000e-01	4.644195e-01	1.265974e-03
7.510000e-01	4.644195e-01	1.265974e-03
7.520000e-01	4.644195e-01	1.265974e-03
7.530000e-01	4.644195e-01	1.265974e-03
7.540000e-01	4.644195e-01	1.265974e-03
