Time [\fm\ns]	x(t)	feedback	x(t-\ft\n)+\ff\n	MZM-out
1.540000e+00	-4.868742e-01	5.583180e-02	-2.402925e-01	5.304780e-01
1.560000e+00	-4.811138e-01	5.592074e-02	-2.399895e-01	5.314282e-01
1.580000e+00	-4.810261e-01	5.592822e-02	-2.397183e-01	5.322784e-01
1.600000e+00	-4.800145e-01	5.583441e-02	-2.399934e-01	5.314160e-01
1.620000e+00	1.704802e-01	7.038455e-01	-2.403246e-01	5.303774e-01
1.640000e+00	1.699994e-01	7.060114e-01	-2.398294e-01	5.319303e-01
1.660000e+00	1.669126e-01	7.024099e-01	-2.406128e-01	5.294738e-01
1.680000e+00	1.677431e-01	7.043740e-01	-2.401848e-01	5.308159e-01
1.700000e+00	1.694373e-01	7.045552e-01	-2.400104e-01	5.313627e-01
1.720000e+00	1.662232e-01	7.034491e-01	-2.403546e-01	5.302833e-01
1.740000e+00	1.665827e-01	7.037969e-01	-2.402502e-01	5.306106e-01
1.760000e+00	1.731098e-01	7.064663e-01	-2.397950e-01	5.320379e-01
1.780000e+00	1.685747e-01	7.075798e-01	-2.393640e-01	5.333890e-01
1.800000e+00	1.701653e-01	7.053159e-01	-2.398538e-01	5.318536e-01
1.820000e+00	4.735724e-01	1.007616e+00	-2.399398e-01	5.315840e-01
1.840000e+00	4.695975e-01	1.007574e+00	-2.397491e-01	5.321820e-01
1.860000e+00	4.681988e-01	1.005197e+00	-2.402404e-01	5.306414e-01
1.880000e+00	4.744123e-01	1.010940e+00	-2.394508e-01	5.331169e-01
1.900000e+00	4.658647e-01	1.007893e+00	-2.397712e-01	5.321125e-01
1.920000e+00	4.700476e-01	1.006896e+00	-2.400285e-01	5.313060e-01
1.940000e+00	4.696840e-01	1.010055e+00	-2.394414e-01	5.331466e-01
1.960000e+00	4.677613e-01	1.007195e+00	-2.399496e-01	5.315534e-01
1.980000e+00	4.685087e-01	1.007927e+00	-2.396923e-01	5.323601e-01
2.000000e+00	4.671867e-01	1.008601e+00	-2.397366e-01	5.322212e-01
2.020000e+00	1.651122e-01	7.069214e-01	-2.396090e-01	5.326210e-01
2.040000e+00	1.670245e-01	7.062318e-01	-2.397800e-01	5.320849e-01
2.060000e+00	1.694481e-01	7.077455e-01	-2.395695e-01	5.327448e-01
2.080000e+00	1.625243e-01	7.039892e-01	-2.403116e-01	5.304182e-01
2.100000e+00	1.634730e-01	7.048416e-01	-2.399927e-01	5.314181e-01
2.120000e+00	1.665443e-01	7.058796e-01	-2.399263e-01	5.316263e-01
2.140000e+00	1.641967e-01	7.042976e-01	-2.401801e-01	5.308305e-01
2.160000e+00	1.634228e-01	7.040820e-01	-2.403033e-01	5.304443e-01
2.180000e+00	1.594998e-01	7.027413e-01	-2.406570e-01	5.293349e-01
2.200000e+00	1.662951e-01	7.058793e-01	-2.396596e-01	5.324626e-01
2.220000e+00	1.589893e-01	7.042311e-01	-2.401742e-01	5.308490e-01
2.240000e+00	1.585639e-01	7.048947e-01	-2.399117e-01	5.316721e-01
2.260000e+00	1.624058e-01	7.031540e-01	-2.403729e-01	5.302259e-01
2.280000e+00	1.609248e-01	7.033823e-01	-2.403540e-01	5.302853e-01
2.300000e+00	1.631202e-01	7.038728e-01	-2.401836e-01	5.308197e-01
2.320000e+00	1.683562e-01	7.043291e-01	-2.401483e-01	5.309304e-01
2.340000e+00	1.636110e-01	7.037979e-01	-2.401746e-01	5.308478e-01
2.360000e+00	1.642092e-01	7.032244e-01	-2.403641e-01	5.302536e-01
2.380000e+00	1.654983e-01	7.063224e-01	-2.396494e-01	5.324945e-01
2.400000e+00	1.665092e-01	7.055217e-01	-2.398643e-01	5.318209e-01
2.420000e+00	4.653330e-01	1.005746e+00	-2.400433e-01	5.312596e-01
2.440000e+00	4.635908e-01	1.007297e+00	-2.397019e-01	5.323298e-01
2.460000e+00	4.686340e-01	1.010919e+00	-2.393207e-01	5.335249e-01
2.480000e+00	4.645587e-01	1.005643e+00	-2.400705e-01	5.311743e-01
2.500000e+00	4.699599e-01	1.013070e+00	-2.390050e-01	5.345143e-01
2.520000e+00	4.631684e-01	1.005393e+00	-2.404358e-01	5.300288e-01
2.540000e+00	4.699628e-01	1.008132e+00	-2.399479e-01	5.315587e-01
2.560000e+00	4.630810e-01	1.011339e+00	-2.390687e-01	5.343148e-01
2.580000e+00	4.665654e-01	1.007794e+00	-2.398109e-01	5.319881e-01
2.600000e+00	4.612229e-01	1.003700e+00	-2.404073e-01	5.301181e-01
2.620000e+00	1.634640e-01	7.058515e-01	-2.397047e-01	5.323211e-01
2.640000e+00	1.604884e-01	7.046931e-01	-2.401275e-01	5.309956e-01
2.660000e+00	1.636394e-01	7.072986e-01	-2.393587e-01	5.334058e-01
2.680000e+00	1.602424e-01	7.062898e-01	-2.397378e-01	5.322174e-01
2.700000e+00	1.550289e-01	7.050561e-01	-2.399795e-01	5.314594e-01
2.720000e+00	1.584454e-01	7.054306e-01	-2.398923e-01	5.317328e-01
2.740000e+00	1.628288e-01	7.040081e-01	-2.401911e-01	5.307962e-01
2.760000e+00	1.570411e-01	7.054030e-01	-2.396761e-01	5.324106e-01
2.780000e+00	1.608863e-01	7.065350e-01	-2.397850e-01	5.320694e-01
2.800000e+00	1.562290e-01	7.023614e-01	-2.405100e-01	5.297959e-01
2.820000e+00	1.620068e-01	7.049039e-01	-2.399701e-01	5.314889e-01
2.840000e+00	1.595188e-01	7.028196e-01	-2.403880e-01	5.301787e-01
2.860000e+00	1.566277e-01	7.070951e-01	-2.396387e-01	5.325279e-01
2.880000e+00	1.588992e-01	7.051552e-01	-2.397806e-01	5.320833e-01
2.900000e+00	1.664133e-01	7.073603e-01	-2.395210e-01	5.328969e-01
2.920000e+00	1.585258e-01	7.048847e-01	-2.400826e-01	5.311364e-01
2.940000e+00	1.621184e-01	7.065351e-01	-2.395373e-01	5.328458e-01
2.960000e+00	1.588378e-01	7.047489e-01	-2.399960e-01	5.314078e-01
2.980000e+00	1.614492e-01	7.040423e-01	-2.402619e-01	5.305740e-01
3.000000e+00	1.492154e-01	7.046359e-01	-2.398707e-01	5.318005e-01
3.020000e+00	1.617152e-01	7.038375e-01	-2.403440e-01	5.303165e-01
3.040000e+00	1.608136e-01	7.048926e-01	-2.398931e-01	5.317305e-01
3.060000e+00	1.617847e-01	7.053138e-01	-2.398162e-01	5.319715e-01
3.080000e+00	1.589252e-01	7.063292e-01	-2.395667e-01	5.327536e-01
3.100000e+00	1.641677e-01	7.053705e-01	-2.397466e-01	5.321897e-01
3.120000e+00	1.613598e-01	7.052878e-01	-2.401824e-01	5.308233e-01
3.140000e+00	1.583188e-01	7.064248e-01	-2.397093e-01	5.323066e-01
3.160000e+00	1.592031e-01	7.061644e-01	-2.397229e-01	5.322640e-01
3.180000e+00	1.582128e-01	7.026108e-01	-2.404909e-01	5.298561e-01
3.200000e+00	1.578594e-01	7.065142e-01	-2.397219e-01	5.322673e-01
3.220000e+00	4.566825e-01	1.010438e+00	-2.396622e-01	5.324542e-01
3.240000e+00	4.605972e-01	1.004259e+00	-2.403677e-01	5.302424e-01
3.260000e+00	4.629531e-01	1.006239e+00	-2.401371e-01	5.309653e-01
3.280000e+00	4.544617e-01	1.007536e+00	-2.399676e-01	5.314967e-01
3.300000e+00	4.573218e-01	1.007367e+00	-2.398132e-01	5.319810e-01
3.320000e+00	4.626462e-01	1.010264e+00	-2.395280e-01	5.328749e-01
3.340000e+00	4.573814e-01	1.008029e+00	-2.397138e-01	5.322926e-01
3.360000e+00	4.592144e-01	1.006986e+00	-2.400037e-01	5.313836e-01
3.380000e+00	4.560077e-01	1.008342e+00	-2.395948e-01	5.326657e-01
3.400000e+00	4.518021e-01	1.002481e+00	-2.408912e-01	5.286004e-01
3.420000e+00	4.526216e-01	1.004501e+00	-2.406873e-01	5.292401e-01
3.440000e+00	4.599254e-01	1.008254e+00	-2.396587e-01	5.324654e-01
3.460000e+00	4.545975e-01	1.006294e+00	-2.399686e-01	5.314937e-01
3.480000e+00	4.552929e-01	1.010283e+00	-2.394668e-01	5.330670e-01
3.500000e+00	4.554892e-01	1.003157e+00	-2.405573e-01	5.296477e-01
3.520000e+00	4.525774e-01	1.005809e+00	-2.401330e-01	5.309783e-01
3.540000e+00	4.519057e-01	1.002856e+00	-2.406066e-01	5.294932e-01
3.560000e+00	4.528007e-01	1.005518e+00	-2.400334e-01	5.312905e-01
3.580000e+00	4.558820e-01	1.008572e+00	-2.397050e-01	5.323200e-01
3.600000e+00	4.568853e-01	1.006618e+00	-2.400568e-01	5.312173e-01
3.620000e+00	4.527698e-01	1.005970e+00	-2.402792e-01	5.305199e-01
3.640000e+00	4.504953e-01	1.007592e+00	-2.398273e-01	5.319368e-01
3.660000e+00	4.483337e-01	1.008003e+00	-2.397513e-01	5.321751e-01
3.680000e+00	4.513642e-01	1.005047e+00	-2.400217e-01	5.313273e-01
3.700000e+00	4.535038e-01	1.005424e+00	-2.403511e-01	5.302943e-01
3.720000e+00	4.555809e-01	1.009783e+00	-2.395633e-01	5.327644e-01
3.740000e+00	4.515827e-01	1.009602e+00	-2.394068e-01	5.332550e-01
3.760000e+00	4.515012e-01	1.007175e+00	-2.400047e-01	5.313806e-01
3.780000e+00	4.434919e-01	1.002124e+00	-2.406145e-01	5.294684e-01
3.800000e+00	4.537153e-01	1.010398e+00	-2.393373e-01	5.334727e-01
3.820000e+00	-4.963837e-01	5.618473e-02	-2.389950e-01	5.345456e-01
3.840000e+00	-4.979807e-01	5.591510e-02	-2.398630e-01	5.318247e-01
3.860000e+00	-4.978861e-01	5.604925e-02	-2.393653e-01	5.333850e-01
3.880000e+00	-5.016947e-01	5.587517e-02	-2.402109e-01	5.307341e-01
3.900000e+00	-4.950501e-01	5.571804e-02	-2.405773e-01	5.295851e-01
3.920000e+00	-4.972320e-01	5.602163e-02	-2.396415e-01	5.325191e-01
3.940000e+00	-5.010919e-01	5.572247e-02	-2.403854e-01	5.301867e-01
3.960000e+00	-4.973838e-01	5.591247e-02	-2.399129e-01	5.316684e-01
3.980000e+00	-4.934176e-01	5.591307e-02	-2.400277e-01	5.313084e-01
4.000000e+00	-4.969736e-01	5.588175e-02	-2.399651e-01	5.315047e-01
4.020000e+00	4.547992e-01	1.006092e+00	-2.401937e-01	5.307880e-01
4.040000e+00	4.555758e-01	1.002176e+00	-2.407967e-01	5.288970e-01
4.060000e+00	4.570268e-01	1.007626e+00	-2.399268e-01	5.316247e-01
4.080000e+00	4.539355e-01	1.004463e+00	-2.403288e-01	5.303644e-01
4.100000e+00	4.487422e-01	1.003840e+00	-2.407200e-01	5.291375e-01
4.120000e+00	4.532948e-01	1.007592e+00	-2.399100e-01	5.316775e-01
4.140000e+00	4.559822e-01	1.009431e+00	-2.396838e-01	5.323867e-01
4.160000e+00	4.513035e-01	1.006366e+00	-2.398457e-01	5.318790e-01
4.180000e+00	4.491018e-01	1.008815e+00	-2.394134e-01	5.332343e-01
4.200000e+00	4.475622e-01	1.007010e+00	-2.400077e-01	5.313711e-01
4.220000e+00	-1.973241e-01	3.588503e-01	-2.394892e-01	5.329967e-01
4.240000e+00	-2.034968e-01	3.584561e-01	-2.398046e-01	5.320079e-01
4.260000e+00	-2.014011e-01	3.569915e-01	-2.405670e-01	5.296174e-01
4.280000e+00	-2.009630e-01	3.584621e-01	-2.398922e-01	5.317333e-01
4.300000e+00	-2.019679e-01	3.588472e-01	-2.396163e-01	5.325983e-01
4.320000e+00	-1.926094e-01	3.576197e-01	-2.403194e-01	5.303938e-01
4.340000e+00	-1.946365e-01	3.579179e-01	-2.401443e-01	5.309427e-01
4.360000e+00	-1.930656e-01	3.591873e-01	-2.394047e-01	5.332616e-01
4.380000e+00	-1.981945e-01	3.571645e-01	-2.401161e-01	5.310313e-01
4.400000e+00	-1.948184e-01	3.590444e-01	-2.395341e-01	5.328558e-01
4.420000e+00	4.564473e-01	1.009056e+00	-2.396472e-01	5.325014e-01
4.440000e+00	4.490000e-01	1.005247e+00	-2.402446e-01	5.306282e-01
4.460000e+00	4.436005e-01	1.004132e+00	-2.404463e-01	5.299957e-01
4.480000e+00	4.533807e-01	1.008249e+00	-2.395729e-01	5.327344e-01
4.500000e+00	4.488306e-01	1.004439e+00	-2.404306e-01	5.300451e-01
4.520000e+00	4.549209e-01	1.007244e+00	-2.399347e-01	5.316001e-01
4.540000e+00	4.538406e-01	1.005497e+00	-2.401610e-01	5.308905e-01
4.560000e+00	4.489368e-01	1.005019e+00	-2.404543e-01	5.299706e-01
4.580000e+00	4.559074e-01	1.007269e+00	-2.400051e-01	5.313792e-01
4.600000e+00	4.453889e-01	1.004890e+00	-2.402519e-01	5.306055e-01
4.620000e+00	1.506553e-01	7.044168e-01	-2.399390e-01	5.315867e-01
4.640000e+00	1.439631e-01	7.043380e-01	-2.402179e-01	5.307119e-01
4.660000e+00	1.442874e-01	7.062042e-01	-2.395917e-01	5.326755e-01
4.680000e+00	1.520400e-01	7.063060e-01	-2.395778e-01	5.327188e-01
4.700000e+00	1.461524e-01	7.048722e-01	-2.400769e-01	5.311540e-01
4.720000e+00	1.530460e-01	7.060830e-01	-2.397672e-01	5.321250e-01
4.740000e+00	1.443411e-01	7.047442e-01	-2.401669e-01	5.308720e-01
4.760000e+00	1.444778e-01	7.036254e-01	-2.403668e-01	5.302450e-01
4.780000e+00	1.504237e-01	7.053607e-01	-2.397609e-01	5.321448e-01
4.800000e+00	1.443834e-01	7.036181e-01	-2.402258e-01	5.306873e-01
4.820000e+00	-5.022191e-01	5.605518e-02	-2.394949e-01	5.329789e-01
4.840000e+00	-4.996738e-01	5.604435e-02	-2.396348e-01	5.325403e-01
4.860000e+00	-5.013723e-01	5.591388e-02	-2.398505e-01	5.318639e-01
4.880000e+00	-5.020382e-01	5.580596e-02	-2.402550e-01	5.305958e-01
4.900000e+00	-4.941964e-01	5.590218e-02	-2.402617e-01	5.305747e-01
4.920000e+00	-5.050899e-01	5.611654e-02	-2.392610e-01	5.337119e-01
4.940000e+00	-5.047465e-01	5.604605e-02	-2.395167e-01	5.329106e-01
4.960000e+00	-5.018065e-01	5.606329e-02	-2.395409e-01	5.328345e-01
4.980000e+00	-5.008992e-01	5.604704e-02	-2.393796e-01	5.333402e-01
5.000000e+00	-4.981489e-01	5.575203e-02	-2.405158e-01	5.297779e-01
5.020000e+00	4.503210e-01	1.006520e+00	-2.398766e-01	5.317822e-01
5.040000e+00	4.532767e-01	1.008569e+00	-2.398498e-01	5.318663e-01
5.060000e+00	4.530216e-01	1.005279e+00	-2.400551e-01	5.312224e-01
5.080000e+00	4.516999e-01	1.007208e+00	-2.399101e-01	5.316771e-01
5.100000e+00	4.495681e-01	1.007258e+00	-2.400296e-01	5.313024e-01
5.120000e+00	4.460405e-01	1.009718e+00	-2.394924e-01	5.329866e-01
5.140000e+00	4.516118e-01	1.007847e+00	-2.399473e-01	5.315605e-01
5.160000e+00	4.529238e-01	1.005794e+00	-2.401231e-01	5.310093e-01
5.180000e+00	4.461634e-01	1.005928e+00	-2.402701e-01	5.305482e-01
5.200000e+00	4.426286e-01	9.993298e-01	-2.411752e-01	5.277098e-01
5.220000e+00	-5.060752e-01	5.568718e-02	-2.405251e-01	5.297486e-01
5.240000e+00	-4.965437e-01	5.574299e-02	-2.405079e-01	5.298025e-01
5.260000e+00	-5.001546e-01	5.606491e-02	-2.396114e-01	5.326137e-01
5.280000e+00	-4.976776e-01	5.589118e-02	-2.400195e-01	5.313343e-01
5.300000e+00	-5.007296e-01	5.567126e-02	-2.406333e-01	5.294093e-01
5.320000e+00	-4.975448e-01	5.590275e-02	-2.398165e-01	5.319706e-01
5.340000e+00	-5.002448e-01	5.607913e-02	-2.393725e-01	5.333624e-01
